0.0	10377.136585238171	50170.727059758705	7947.062754235104	30540.86417762499	5657.897995485283	8050.254661310147	93186.48922491704	14754.483053818143	6227.481353147912	
10377.136585238171	0.0	45431.98236859083	18225.309692876224	30897.509153075065	5032.851123183926	17885.024086517842	96162.18770564508	25097.732170084633	4279.318085176556	
50170.727059758705	45431.98236859083	0.0	56037.086298149006	25846.69373317339	48578.01721286635	51429.76827048706	68777.2283025169	60489.3310739961	46410.15175748598	
7947.062754235104	18225.309692876224	56037.086298149006	0.0	34062.91349654671	13288.648146723144	5487.66421118069	93301.49484355612	6900.296628820696	14163.485471277785	
30540.86417762499	30897.509153075065	25846.69373317339	34062.91349654671	0.0	31572.90947573203	28753.52647890389	65705.14925513454	36955.813200809374	29522.50444639212	
5657.897995485283	5032.851123183926	48578.01721286635	13288.648146723144	31572.90947573203	0.0	13594.53736349447	95865.10069236664	20184.819754275777	2194.016642133032	
8050.254661310147	17885.024086517842	51429.76827048706	5487.66421118069	28753.52647890389	13594.53736349447	0.0	88033.18963433737	9267.96629260193	13607.277900325127	
93186.48922491704	96162.18770564508	68777.2283025169	93301.49484355612	65705.14925513454	95865.10069236664	88033.18963433737	0.0	92403.25769619136	94060.21973501756	
14754.483053818143	25097.732170084633	60489.3310739961	6900.296628820696	36955.813200809374	20184.819754275777	9267.96629260193	92403.25769619136	0.0	20980.633794830843	
6227.481353147912	4279.318085176556	46410.15175748598	14163.485471277785	29522.50444639212	2194.016642133032	13607.277900325127	94060.21973501756	20980.633794830843	0.0	
